restaurant,food,price,taste,location,portion_size,dish_category
Bliss on Plate,Loaded Fries Mini,90.0,7.2,Accra,N/A,Fries Meal
Pizzaman Chickenman,Spicy Wings 24Pcs,264.0,7.9,Accra,N/A,Wings
Pizzaman Chickenman,Spicy Wings 10pcs,121.0,7.7,Accra,N/A,Wings
Pizzaman Chickenman,Noodles Mini,132.0,7.0,Accra,N/A,Noodles
Pizzaman Chickenman,Noodles Maxi,170.5,7.2,Accra,N/A,Noodles
Pizzaman Chickenman,Jollof KƐ KƆKƆƆ(REGULAR),115.5,8.1,Accra,N/A,Jollof Rice
Pizzaman Chickenman,Guyman Jollof (Beef),53.9,7.9,Accra,N/A,Guyman
Pizzaman Chickenman,Guyman Fried Rice (Beef),53.9,7.6,Accra,N/A,Guyman
Pizzaman Chickenman,Classic Wings 24Pcs,264.0,7.8,Accra,N/A,Wings
Pizzaman Chickenman,Classic Wings 10pcs,121.0,7.6,Accra,N/A,Wings
Pizzaman Chickenman,Chibella Medium,159.5,7.3,Accra,N/A,Medium
Pizzaman Chickenman,Triple B Medium,159.5,7.2,Accra,N/A,Medium
Pizzaman Chickenman,Obiridan Medium,159.5,7.1,Accra,N/A,Medium
Pizzaman Chickenman,Dukeman Medium,181.5,7.3,Accra,N/A,Medium
Pizzaman Chickenman,Breezy Medium,170.5,7.4,Accra,N/A,Medium
Pizzaman Chickenman,Gretaben Medium,159.5,7.0,Accra,N/A,Medium
Pizzaman Chickenman,Kersame Medium,148.5,6.9,Accra,N/A,Medium
Pizzaman Chickenman,Triple B Large,209.0,7.5,Accra,N/A,Large
Pizzaman Chickenman,Obiridan Large,209.0,7.2,Accra,N/A,Large
Pizzaman Chickenman,Breezy Large,225.5,7.5,Accra,N/A,Large
Pizzaman Chickenman,Kersame Large,187.0,7.0,Accra
Pizzaman Chickenman,Gretaben LARGE,209.0,7,Accra,Large,Large
Pizzaman Chickenman,Dukeman LARGE,242.0,9,Accra,Large,Large
Pizzaman Chickenman,CHIBELLA LARGE,209.0,6,Accra,Large,Large
Pizzaman Chickenman,Kersame DOUBLE,272.8,8,Accra,Double,Double
Pizzaman Chickenman,Breezy DOUBLE,314.6,5,Accra,Double,Double
Pizzaman Chickenman,CHIBELLA DOUBLE,293.7,7,Accra,Double,Double
Pizzaman Chickenman,Triple B Double,293.7,10,Accra,Double,Double
Pizzaman Chickenman,Dukeman DOUBLE,335.5,6,Accra,Double,Double
Pizzaman Chickenman,Gretaben DOUBLE,293.7,7,Accra,Double,Double
Pizzaman Chickenman,Obiridan DOUBLE,293.7,8,Accra,Double,Double
Pizzaman Chickenman,Tampico (0.5L),11.0,5,Accra,Drinks,Drinks
Pizzaman Chickenman,Malt,20.0,9,Accra,Drinks,Drinks
Pizzaman Chickenman,Don Simon,55.0,8,Accra,Drinks,Drinks
Pizzaman Chickenman,Coke (1.5L),38.5,7,Accra,Drinks,Drinks
Pizzaman Chickenman,Coke (0.5L),16.5,6,Accra,Drinks,Drinks
Pizzaman Chickenman,Ceres,66.0,9,Accra,Drinks,Drinks
Pizzaman Chickenman,Bottle Water,5.5,10,Accra,Drinks,Drinks
Pious Fast Food,Chicken noodles,52.0,5.3,Accra,N/A,Noodles Meals
Pious Fast Food,Beef indomie,52.0,4.7,Accra,N/A,Noodles Meals
Pious Fast Food,Chicken indomie,52.0,6.8,Accra,N/A,Noodles Meals
Pious Fast Food,Sausage Indomie,50.0,3.9,Accra,N/A,Noodles Meals
Pious Fast Food,Assorted noodles,50.0,7.2,Accra,N/A,Noodles Meals
Pious Fast Food,Fried Rice with Fried Chicken,60.0,8.1,Accra,N/A,Main Dishes
Pious Fast Food,Chicken Fried Rice,70.0,6.4,Accra,N/A,Main Dishes
Pious Fast Food,Egg rice with Chicken,75.0,7.5,Accra,N/A,Main Dishes
Pious Fast Food,Beef fried rice,70.0,5.6,Accra,N/A,Main Dishes
Pious Fast Food,Egg rice only,65.0,4.8,Accra,N/A,Main Dishes
Pious Fast Food,Sausage fried rice with fried chicken,65.0,6.9,Accra,N/A,Main Dishes
Pious Fast Food,Egg rice with Chicken,75.0,7.8,Accra,N/A,Main Dishes
Pious Fast Food,Beef fried rice,70.0,6.0,Accra,N/A,Main Dishes
Papaye,Broasted Chicken Rice without Coleslaw,77.0,6.2,Accra,N/A,Chicken
Papaye,Grilled Chicken Chips without Coleslaw,85.0,7.9,Accra,N/A,Chicken
Papaye,Broasted Chicken Chips without Coleslaw,77.0,4.5,Accra,N/A,Chicken
Papaye,Grilled Chicken Rice without Coleslaw,77.0,5.2,Accra,N/A,Chicken
Papaye,Mini Chips with Coleslaw,40.0,3.7,Accra,N/A,Chicken
Papaye,Mini Rice with Coleslaw,40.0,4.9,Accra,N/A,Chicken
Papaye,Grilled Chicken Chips with Coleslaw,90.0,8.8,Accra,N/A,Chicken
Papaye,Grilled Chicken Rice with Coleslaw,90.0,9.2,Accra,N/A,Chicken
Papaye,Broasted Chicken Chips with Coleslaw,80.0,6.1,Accra,N/A,Chicken
Papaye,Broasted Chicken Rice with Coleslaw,80.0,6.6,Accra,N/A,Chicken
Papaye,Full Chicken,135.0,8.5,Accra,N/A,Chicken
Papaye,Fried Fish Rice with Coleslaw,88.0,7.0,Accra,N/A,Fish
Papaye,Grilled Fish Rice with Coleslaw,88.0,5.5,Accra,N/A,Fish
Papaye,Grilled Fish Chips with Coleslaw,88.0,8.2,Accra,N/A,Fish
Papaye,Egg Burger,60.0,4.2,Accra,N/A,Burger
Papaye,Beef Burger,60.0,6.9,Accra,N/A,Burger
Papaye,Cheese Burger,65.0,5.8,Accra,N/A,Burger
Papaye,Cheese Egg Burger,70.0,7.3,Accra,N/A,Burger
Papaye,Extra  Coleslaw,7.0,3.1,Accra,N/A,Extra
Papaye,Extra Fries,30.0,6.0,Accra,N/A,Extra
Pizza Hut,Beef Pepperoni (Boss Pizza),49.0,7.4,Accra,N/A,MID MONTH DEAL
Pizza Hut,Beef Deluxe. (Boss Pizza),49.0,6.3,Accra,N/A,MID MONTH DEAL
Pizza Hut,Double Meat. (Boss Pizza),49.0,7.8,Accra,N/A,MID MONTH DEAL
Pizza Hut,BBQ Meat Feast.  (Boss Pizza),49.0,8.4,Accra,N/A,MID MONTH DEAL
Pizza Hut,BBQ Meat Feast (Medium Pizza),79.0,7.1,Accra,N/A,MID MONTH DEAL
Pizza Hut,Beef Deluxe (Medium Pizza),79.0,5.9,Accra,N/A,MID MONTH DEAL
Pizza Hut,Double Meat (Medium Pizza),79.0,7.6,Accra,N/A,MID MONTH DEAL
Pizza Hut,Beef Pepperoni  (Medium Pizza),79.0,6.8,Accra,N/A,MID MONTH DEAL
Pizza Hut,Beef Deluxe Halal,100.0,8.9,Accra,N/A,Meat Pizzas
Pizza Hut,BBQ Meat Fest,100.0,9.2,Accra,N/A,Meat Pizzas
Pizza Hut,BBQ Meat Fest Halal,100.0,7.0,Accra,N/A,Meat Pizzas
Pizza Hut,Super Supreme,110.0,8.3,Accra,N/A,Meat Pizzas
Pizza Hut,Super Supreme Halal,110.0,9.0,Accra,N/A,Meat Pizzas
Pizza Hut,Pork Pepperoni,85.0,6.1,Accra,N/A,Meat Pizzas
Pizza Hut,Beef Pepperoni,85.0,8.8,Accra,N/A,Meat Pizzas
Pizza Hut,Beef Deluxe,100.0,7.7,Accra,N/A,Meat Pizzas
Pizza Hut,Double Meat,85.0,5.5,Accra,N/A,Meat Pizzas
Pizza Hut,Double Meat Halal,85.0,7.4,Accra,N/A,Meat Pizzas
Pizza Hut,Sweet Chilli Chicken & Feta,90.0,8.5,Accra,N/A,Chicken Pizzas
Pizza Hut,Tropical Chicken,90.0,7.2,Accra,N/A,Chicken Pizzas
Pizza Hut,Chicken Supreme,110.0,9.1,Accra,N/A,Chicken Pizzas
Pizza Hut,BBQ Chicken & Turkey,90.0,7.9,Accra,N/A,Chicken Pizzas
Pizza Hut,Chicken'n Sweet Corn,90.0,8.2,Accra,N/A,Chicken Pizzas
Pizza Hut,Hawaiian,75.0,4.8,Accra,N/A,Chicken Pizzas
Pizza Hut,Spicy Chicken,75.0,5.3,Accra,N/A,Chicken Pizzas
Pizza Hut,Chicken n Avocado,85.0,6.7,Accra,N/A,Chicken Pizzas
Pizza Hut,Chicken & Mushroom,85.0,7.6,Accra,N/A,Chicken Pizzas
Pizza Hut,Margherita,65.0,8.0,Accra,N/A,Veg Pizzas
Pizza Hut,Cheesy Avocado,75.0,4.9,Accra,N/A,Veg Pizzas
Pizza Hut,Fiery Veg,75.0,5.4,Accra,N/A,Veg Pizzas
Pizza Hut,Double Cheese,75.0,7.2,Accra,N/A,Veg Pizzas
Pizza Hut,Feta & Roasted Veg,80.0,7.7,Accra,N/A,Veg Pizzas
Pizza Hut,Veg. Delight,75.0,5.6,Accra,N/A,Veg Pizzas
Pizza Hut,Pork Pepperoni  Melts (Non Halal),65.0,6.0,Accra,N/A,Melts
Pizza Hut,Fiery Veg Melts,65.0,3.8,Accra,N/A,Melts
Pizza Hut,Avocado and Cheese Melts,65.0,4.6,Accra,N/A,Melts
Pizza Hut,Fiery Double Cheese Melts,65.0,6.4,Accra,N/A,Melts
Pizza Hut,Hot Chicken Melts,65.0,7.0,Accra,N/A,Melts
Pizza Hut,Avocado Chicken Melts,65.0,7.5,Accra,N/A,Melts
Pizza Hut,Hot Beef Melts (Non Halal),65.0,6.2,Accra,N/A,Melts
Pizza Hut,Beef Pepperoni  Melts (Halal),65.0,6.9,Accra,N/A,Melts
Pizza Hut,Hot Beef Melts (Halal),65.0,4.4,Accra,N/A,Melts
Pizza Hut,Cheesy Crinkle Fries - Regular,40.0,3.2,Accra,N/A,Sides
Pizza Hut,Crinkle Fries - Regular,40.0,5.8,Accra,N/A,Sides
Pizza Hut,Portion of Fries - Large,45.0,7.1,Accra,N/A,Sides
Pizza Hut,Portion of Fries - Regular,35.0,4.5,Accra,N/A,Sides
Pizza Hut,Cheesy Fries - Large,45.0,6.8,Accra,N/A,Sides
Pizza Hut,Cheesy Fries - Regular,40.0,5.2,Accra,N/A,Sides
Pizza Hut,Crinkle Fries - Large,45.0,7.0,Accra,N/A,Sides
Pizza Hut,Chilli Fries - Large,45.0,7.8,Accra,N/A,Sides
Pizza Hut,Chilli Fries - Regular,40.0,6.0,Accra,N/A,Sides
Pizza Hut,Cheesy Crinkle Fries - Large,45.0,7.6,Accra,N/A,Sides
